function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|16384|6639616|0|3264512|0|749568|0|118784|187392|0|2381|3961|14|22|0|0|0|0|1655480730.48|wn1.localdomain
mapper|0_0|end|209.89|0.73|0.02|0.03|0.0|1133|492|0|90112|3323451|89207|239|5238|380518400|510615552|214183936|3264512|0|178257920|0|374030336|376843264|0|6443|11798|54|64|0|0|0|0|0|wn1.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|16384|6598656|0|3264512|0|741376|0|40960|76800|0|2379|3922|14|21|0|0|0|0|1655480731.82|wn3.localdomain
mapper|1_1|end|137.56|0.33|0.02|0.04|0.0|1154|492|0|90112|3323454|89207|279|2317|383537152|510611456|217329664|3264512|0|178262016|0|377065472|379922432|0|5859|11009|43|48|0|0|0|0|0|wn3.localdomain
mapper|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|16384|6598656|0|3264512|0|741376|0|40960|76800|0|2379|3922|14|21|0|0|0|0|1655480731.75|wn6.localdomain
mapper|2_2|end|136.97|0.38|0.02|0.03|0.0|1182|492|0|90112|3323454|89207|298|5030|384073728|510611456|217796608|3264512|0|178257920|0|377499648|380396544|0|5943|11093|45|50|0|0|0|0|0|wn6.localdomain
mapper|3_3|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|16384|6606848|0|3264512|0|749568|0|114688|179200|0|2447|3964|15|22|0|0|0|0|1655480730.75|wn4.localdomain
mapper|3_3|end|177.67|0.56|0.02|0.03|0.0|1153|494|0|98304|3323454|95821|228|3041|379207680|510652416|212721664|3264512|0|178249728|0|171581440|273560576|0|6125|11291|47|53|0|0|0|0|0|wn4.localdomain
mapper|4_4|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|507904|7585792|454656|3264512|0|757760|0|147456|258048|0|2447|3612|15|18|0|0|0|0|1655480731.34|wn2.localdomain
mapper|4_4|end|148.24|0.48|0.04|0.01|0.0|1148|492|0|90112|3323454|89207|260|2940|379645952|510599168|213635072|3264512|0|178245632|0|373530624|376305664|0|5993|11023|45|51|0|0|0|0|0|wn2.localdomain
