function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|65536|106496|0|2447|3919|15|21|0|0|0|0|1655476493.67|wn2.localdomain
mapper|0_0|end|594.75|1.18|0.03|0.04|0.0|1166|494|0|98304|3324765|96282|288|14288|386945024|517103616|214032384|3264512|0|184684544|0|380260352|383119360|0|9065|14262|101|105|0|0|0|0|0|wn2.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|622592|7921664|528384|3264512|0|798720|0|192512|260096|0|2447|3702|15|19|0|0|0|0|1655476492.7|wn4.localdomain
mapper|1_1|end|756.0|2.65|0.05|0.01|0.0|1127|492|0|90112|3324768|89668|232|29929|385617920|517054464|213000192|3264512|0|184668160|0|173223936|277638144|0|9941|14921|115|117|0|0|0|0|0|wn4.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|61440|93184|0|2587|8426|17|23|0|0|0|0|1655477114.65|wn1.localdomain
reducer|0_0|end|0.81|0.13|0.02|0.01|0.0|1022|416|0|28672|3068910|37650|233|14|275644416|342564864|184344576|3264512|0|94371840|0|269361152|272187392|0|5897|13146|31|34|0|0|0|0|0|wn1.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6627328|0|3264512|0|770048|0|131072|208896|0|2587|8156|17|23|0|0|0|0|1655477289.67|wn1.localdomain
reducer|0_1|end|0.78|0.16|0.02|0.02|0.0|955|415|0|28672|2991872|37133|185|15|274599936|340897792|184242176|3264512|0|92721152|0|268058624|270838784|0|5174|11975|29|33|0|0|0|0|0|wn1.localdomain
reducer|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|65536|107520|0|2587|8336|17|22|0|0|0|0|1655477285.08|wn2.localdomain
reducer|1_1|end|1.19|0.18|0.03|0.04|0.0|1092|492|0|53248|3278992|55739|216|17|318775296|456777728|204800000|3264512|0|124661760|0|312512512|315244544|0|6840|18067|36|38|0|0|0|0|0|wn2.localdomain
