function|id|time|cpu_percent|mem_percent|node
mapper|0_0|48.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|48.5|96.6|0.591238839060135|wn3.localdomain
mapper|0_0|49.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|49.5|97.0|0.591238839060135|wn3.localdomain
mapper|0_0|50.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|50.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|51.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|51.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|52.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|52.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|53.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|53.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|54.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|54.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|55.0|95.7|0.591238839060135|wn3.localdomain
mapper|0_0|55.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|56.0|96.9|0.591238839060135|wn3.localdomain
mapper|0_0|56.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|57.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|57.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|58.0|96.4|0.591238839060135|wn3.localdomain
mapper|0_0|58.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|59.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|59.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|60.0|98.3|0.591238839060135|wn3.localdomain
mapper|0_0|60.5|95.0|0.591238839060135|wn3.localdomain
mapper|0_0|61.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|61.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|62.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|62.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|63.0|98.3|0.591238839060135|wn3.localdomain
mapper|0_0|63.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|64.0|94.3|0.591238839060135|wn3.localdomain
mapper|0_0|64.5|97.8|0.591238839060135|wn3.localdomain
mapper|0_0|65.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|65.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|66.0|94.3|0.591238839060135|wn3.localdomain
mapper|0_0|66.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|67.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|67.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|68.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|68.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|69.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|69.5|98.3|0.591238839060135|wn3.localdomain
mapper|0_0|70.0|94.3|0.591238839060135|wn3.localdomain
mapper|0_0|70.5|98.3|0.591238839060135|wn3.localdomain
mapper|0_0|71.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|71.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|72.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|72.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|73.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|73.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|74.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|74.5|95.9|0.591238839060135|wn3.localdomain
mapper|0_0|75.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|75.5|98.0|0.591238839060135|wn3.localdomain
mapper|0_0|76.0|94.7|0.591238839060135|wn3.localdomain
mapper|0_0|76.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|77.0|94.1|0.591238839060135|wn3.localdomain
mapper|0_0|77.5|97.9|0.591238839060135|wn3.localdomain
mapper|0_0|78.0|94.3|0.591238839060135|wn3.localdomain
mapper|0_0|78.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|79.0|98.1|0.591238839060135|wn3.localdomain
mapper|0_0|79.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|80.0|96.3|0.591238839060135|wn3.localdomain
