function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|1|532480|7778304|475136|3264512|0|761856|0|151552|244736|0|2381|4003|14|23|0|0|0|0|1655480181.03|wn1.localdomain
mapper|0_0|end|107.14|0.5|0.03|0.02|0.0|1172|494|0|98304|3323451|95821|252|3827|379269120|510640128|212824064|3264512|0|178245632|0|372645888|375464960|0|5687|11420|40|59|0|0|0|0|0|wn1.localdomain
mapper|10_10|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|503808|7577600|454656|3264512|0|749568|0|139264|176128|0|2383|3938|14|23|0|0|0|0|1655480184.4|wn5.localdomain
mapper|10_10|end|74.17|0.39|0.03|0.01|0.0|1167|492|0|90112|3323454|89207|241|1427|383512576|510595072|217489408|3264512|0|178241536|0|377221120|380138496|0|5473|10677|36|44|0|0|0|0|0|wn5.localdomain
mapper|11_11|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|32768|44032|0|2451|3786|15|21|0|0|0|0|1655480182.02|wn1.localdomain
mapper|11_11|end|103.68|0.53|0.03|0.02|0.0|1140|492|0|90112|3323454|89207|214|1680|379535360|510607360|213286912|3264512|0|178237440|0|170004480|239459328|0|5673|11035|39|53|0|0|0|0|0|wn1.localdomain
mapper|12_12|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6598656|0|3264512|0|741376|0|102400|141312|0|2451|3744|15|20|0|0|0|0|1655480181.63|wn4.localdomain
mapper|12_12|end|90.76|0.5|0.02|0.03|0.0|1141|492|0|90112|3323454|89207|236|3964|379072512|510578688|213037056|3264512|0|178225152|0|372736000|375621632|0|5607|10927|38|51|0|0|0|0|0|wn4.localdomain
mapper|13_13|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6598656|0|3264512|0|741376|0|32768|70656|0|2385|3654|14|19|0|0|0|0|1655480182.56|wn2.localdomain
mapper|13_13|end|80.43|0.47|0.03|0.02|0.0|1118|494|0|98304|3323454|95823|257|1535|379568128|510623744|213159936|3264512|0|178237440|0|372985856|375842816|0|5475|10525|36|42|0|0|0|0|0|wn2.localdomain
