function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|94208|6676480|0|3264512|0|819200|0|126976|146432|0|2381|3829|14|20|0|0|0|0|1655725515.24|wn2.localdomain
mapper|0_0|end|567.39|1.02|0.08|0.03|0.0|1153|494|0|98304|3323925|95979|273|13143|379543552|510775296|212824064|3264512|0|178380800|0|373092352|375832576|0|8657|13842|93|98|0|0|0|0|0|wn2.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|94208|6676480|0|0|0|819200|0|114688|114688|0|2445|3922|15|21|0|0|0|0|1655725515.56|wn5.localdomain
mapper|1_1|end|568.2|1.11|0.09|0.05|0.0|1186|492|0|90112|3323928|89244|295|14420|383283200|510726144|216731648|3264512|0|178372608|0|376799232|379619328|0|8997|14121|100|104|0|0|0|0|0|wn5.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|94208|6676480|0|3264512|0|819200|0|126976|160768|0|2587|8426|17|23|0|0|0|0|1655726108.88|wn1.localdomain
reducer|0_0|end|1.56|0.25|0.09|0.04|0.0|1138|492|0|53248|3278992|55739|226|29|323727360|462622720|204591104|3264512|0|130494464|0|317239296|320114688|0|6840|18133|36|39|0|0|0|0|0|wn1.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|94208|6676480|0|0|0|819200|0|114688|114688|0|2453|8156|15|23|0|0|0|0|1655726116.47|wn5.localdomain
reducer|0_1|end|0.34|0.09|0.02|0.03|0.0|876|410|0|0|2676420|21322|245|9|244191232|320024576|172707840|3264512|0|74829824|0|237514752|240332800|0|5040|11975|27|33|0|0|0|0|0|wn5.localdomain
reducer|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|94208|6676480|0|0|0|819200|0|114688|114688|0|2585|8426|17|23|0|0|0|0|1655726110.67|wn3.localdomain
reducer|1_1|end|0.69|0.12|0.1|0.04|0.0|1152|489|0|40960|3255393|52662|265|13|288481280|425811968|189943808|3264512|0|110821376|0|281927680|284767232|0|6838|18067|36|38|0|0|0|0|0|wn3.localdomain
