function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6668288|0|3264512|0|811008|0|118784|151552|0|2447|3829|15|20|0|0|0|0|1655725065.21|wn1.localdomain
mapper|0_0|end|390.03|0.77|0.08|0.04|0.0|1120|492|0|90112|3323925|89244|229|9595|380350464|510726144|213827584|3264512|0|178372608|0|373583872|376489984|0|7721|12840|77|81|0|0|0|0|0|wn1.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6668288|0|0|0|811008|0|106496|106496|0|2445|3922|15|21|0|0|0|0|1655725066.27|wn3.localdomain
mapper|1_1|end|278.17|0.55|0.11|0.02|0.0|1161|492|0|90112|3323928|89244|287|5973|383115264|510742528|216535040|3264512|0|178368512|0|376578048|379423744|0|6837|11961|60|64|0|0|0|0|0|wn3.localdomain
mapper|2_2|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|86016|6668288|0|3264512|0|811008|0|122880|158720|0|2379|3922|14|21|0|0|0|0|1655725066.63|wn6.localdomain
mapper|2_2|end|272.86|0.49|0.09|0.03|0.0|1165|492|0|90112|3323928|89244|283|6367|383549440|510730240|217231360|3264512|0|178376704|0|377266176|380080128|0|6621|11811|56|61|0|0|0|0|0|wn6.localdomain
mapper|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6668288|0|3264512|0|811008|0|122880|154624|0|2447|3922|15|21|0|0|0|0|1655725066.45|wn2.localdomain
mapper|3_3|end|292.84|0.61|0.07|0.04|0.0|1105|492|0|90112|3323928|89244|222|7423|379109376|510730240|212615168|3264512|0|178376704|0|372711424|375550976|0|6989|12111|63|67|0|0|0|0|0|wn2.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6709248|0|3264512|0|819200|0|188416|261120|0|2587|8426|17|23|0|0|0|0|1655725475.11|wn4.localdomain
reducer|0_0|end|1.16|0.18|0.06|0.05|0.0|1110|492|0|53248|3279655|55739|193|19|317181952|456269824|204578816|3264512|0|124153856|0|310755328|313553920|0|6840|18730|36|38|0|0|0|0|0|wn4.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6668288|0|3264512|0|811008|0|122880|156672|0|2455|8156|15|23|0|0|0|0|1655725480.65|wn1.localdomain
reducer|0_1|end|1.16|0.16|0.08|0.04|0.0|1123|492|0|53248|3279385|55739|226|21|313274368|453967872|202960896|3264512|0|121847808|0|306622464|309457920|0|6708|18256|34|39|0|0|0|0|0|wn1.localdomain
reducer|0_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6668288|0|3264512|0|811008|0|118784|150528|0|2587|8156|17|23|0|0|0|0|1655725485.98|wn4.localdomain
reducer|0_3|end|0.8|0.13|0.01|0.02|0.0|994|415|0|28672|3036451|37133|190|14|274677760|342073344|183988224|3264512|0|93880320|0|268144640|270910464|0|5174|12638|29|33|0|0|0|0|0|wn4.localdomain
reducer|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6668288|0|0|0|811008|0|106496|106496|0|2585|8360|17|22|0|0|0|0|1655725359.96|wn6.localdomain
reducer|1_1|end|0.33|0.11|0.02|0.02|0.0|871|410|0|0|2676420|21322|242|10|243699712|317726720|174555136|3264512|0|72531968|0|237064192|239799296|0|5895|13743|31|33|0|0|0|0|0|wn6.localdomain
reducer|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|544768|7655424|409600|3264512|0|827392|0|225280|313344|0|2587|8426|17|23|0|0|0|0|1655725353.6|wn4.localdomain
reducer|2_2|end|0.81|0.1|0.0|0.03|0.0|1033|421|0|28672|3127664|39562|238|15|277364736|342777856|185409536|3264512|0|94584832|0|270598144|273406976|0|5897|13809|31|34|0|0|0|0|0|wn4.localdomain
reducer|2_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6668288|0|3264512|0|811008|0|122880|159744|0|2587|8156|17|23|0|0|0|0|1655725380.3|wn2.localdomain
reducer|2_3|end|0.78|0.15|0.02|0.02|0.0|1003|415|0|28672|3036451|37133|229|14|274890752|342069248|184201216|3264512|0|93876224|0|268410880|271140864|0|5831|13605|30|35|0|0|0|0|0|wn2.localdomain
reducer|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|86016|6668288|0|0|0|811008|0|106496|106496|0|2453|8426|15|23|0|0|0|0|1655725374.67|wn3.localdomain
reducer|3_3|end|0.72|0.12|0.09|0.02|0.0|1154|490|0|45056|3277788|54708|225|9|302198784|446844928|199200768|3264512|0|114724864|0|295563264|298359808|0|6706|18730|34|38|0|0|0|0|0|wn3.localdomain
