function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|8192|6598656|0|3264512|0|741376|0|36864|113664|0|2445|5164|15|21|0|0|0|0|1655430531.81|wn3.localdomain
mapper|0_0|end|1036.27|55.04|0.02|0.03|0.0|5236549|7982|0|90112|37441900085|1700672|28065|26677|750018560|2936590336|221044736|3264512|0|2556067840|0|743436288|746328064|0|142139609|37782507040|2081148|2881913|0|0|0|0|0|wn3.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|36864|69632|0|2445|5232|15|21|0|0|0|0|1655430531.87|wn5.localdomain
mapper|1_1|end|1008.95|54.79|0.03|0.01|0.0|5298053|7991|0|90112|37446581593|1702351|28681|21060|749432832|2936487936|220086272|3264512|0|2556252160|0|742879232|745671680|0|144489184|37805626859|2114878|2898161|0|0|0|0|0|wn5.localdomain
mapper|2_2|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|8192|6590464|0|3264512|0|733184|0|36864|67584|0|2447|5199|15|22|0|0|0|0|1655430531.7|wn2.localdomain
mapper|2_2|end|1206.26|43.89|0.01|0.03|0.0|5047767|7989|0|90112|37466332664|1702527|17496|33219|773332992|2963623936|216870912|3264512|0|2583089152|0|557813760|663688192|0|101193072|37723903231|1466121|2066565|0|0|0|0|0|wn2.localdomain
mapper|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|36864|54272|0|2445|5248|15|23|0|0|0|0|1655430532.13|wn6.localdomain
mapper|3_3|end|1040.16|59.73|0.02|0.02|0.0|5231847|7986|0|331776|37441901916|1943080|26897|36545|619495424|2791399424|220647424|3264512|0|2410987520|0|612655104|615477248|0|146965900|37794078067|2152066|3072241|0|0|0|0|0|wn6.localdomain
mapper|4_4|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|28672|35840|0|2445|5316|15|23|0|0|0|0|1655430532.13|wn6.localdomain
mapper|4_4|end|1034.36|58.84|0.02|0.02|0.0|5216584|7991|0|90112|37446582187|1702351|29259|34028|749486080|2935357440|221310976|3264512|0|2555072512|0|531542016|638604288|0|147810607|37801154244|2166338|3118637|0|0|0|0|0|wn6.localdomain
mapper|5_5|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|524288|7778304|471040|3264512|0|761856|0|147456|201728|0|2447|5089|15|21|0|0|0|0|1655430531.86|wn2.localdomain
mapper|5_5|end|1236.91|46.5|0.02|0.02|0.0|5042014|7991|0|331776|37466332774|1944316|21789|35939|743653376|2918776832|217288704|3264512|0|2538504192|0|736813056|739652608|0|101937370|37718891223|1476430|2082388|0|0|0|0|0|wn2.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|8|0|0|0|4188|0|0|0|446464|7577600|397312|3264512|0|749568|0|143360|225280|0|4573|247859|46|57|0|0|0|0|1655431771.67|wn4.localdomain
reducer|0_0|end|1.18|0.21|0.02|0.03|0.0|1230|492|0|53248|3517298|55739|258|15|312475648|452579328|202752000|3264512|0|120463360|0|306098176|308854784|0|10602|497969|91|104|0|0|0|0|0|wn4.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6598656|0|3264512|0|741376|0|98304|175104|0|4703|247594|48|53|0|0|0|0|1655431777.62|wn3.localdomain
reducer|0_1|end|0.35|0.1|0.02|0.01|0.0|892|410|0|0|2676420|21322|249|8|247656448|320966656|174370816|3264512|0|75771904|0|240922624|243746816|0|8013|253793|62|66|0|0|0|0|0|wn3.localdomain
reducer|0_3|start|0.0|0.0|0.0|0.0|0.0|8|0|0|0|4188|0|1|0|561152|10162176|479232|3264512|0|856064|0|196608|368640|0|4705|247728|48|55|0|0|0|0|1655431926.66|wn4.localdomain
reducer|0_3|end|0.36|0.09|0.01|0.02|0.0|930|410|0|0|2676369|21322|255|8|229126144|308174848|168603648|3264512|0|62980096|0|222547968|225308672|0|8081|253861|63|67|0|0|0|0|0|wn4.localdomain
reducer|0_5|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6598656|0|3264512|0|741376|0|102400|179200|0|4537|247662|46|54|0|0|0|0|1655431960.98|wn4.localdomain
reducer|0_5|end|0.78|0.15|0.01|0.02|0.0|1063|421|0|28672|3112346|39562|257|12|276103168|342659072|184672256|3264512|0|94466048|0|269783040|272595968|0|7190|252894|59|65|0|0|0|0|0|wn4.localdomain
reducer|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6631424|0|3264512|0|741376|0|106496|198656|0|4795|247967|49|59|0|0|0|0|1655431742.35|wn1.localdomain
reducer|1_1|end|0.75|0.17|0.02|0.01|0.0|899|410|0|0|2689952|21322|285|57|267386880|334942208|181104640|3264512|0|89673728|0|260726784|263469056|0|8171|254190|64|72|0|0|0|0|0|wn1.localdomain
reducer|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|36864|79872|0|4997|248123|53|61|0|0|0|0|1655431916.25|wn6.localdomain
reducer|2_2|end|0.75|0.15|0.03|0.02|0.0|1241|492|0|53248|3517349|55739|290|211|311791616|449142784|205598720|3264512|0|117026816|0|305045504|307883008|0|10630|497837|92|102|0|0|0|0|0|wn6.localdomain
reducer|2_3|start|0.0|0.0|0.0|0.0|0.0|7|0|0|0|3356|0|0|0|565248|10153984|487424|3264512|0|847872|0|155648|278528|0|4799|247858|50|57|0|0|0|0|1655431922.21|wn5.localdomain
reducer|2_3|end|0.77|0.13|0.04|0.01|0.0|1238|492|0|53248|3517348|55739|299|16|316624896|452009984|207437824|3264512|0|119894016|0|310083584|312903680|0|10846|497703|96|100|0|0|0|0|0|wn5.localdomain
reducer|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|36864|69632|0|4601|247661|47|54|0|0|0|0|1655431782.87|wn5.localdomain
reducer|3_3|end|0.28|0.15|0.03|0.01|0.0|918|410|0|0|2676420|21322|258|7|239505408|314974208|172216320|3264512|0|69779456|0|232865792|235633664|0|7977|253860|62|67|0|0|0|0|0|wn5.localdomain
reducer|4_4|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6631424|0|3264512|0|741376|0|106496|184320|0|4393|247439|44|51|0|0|0|0|1655431771.85|wn1.localdomain
reducer|4_4|end|0.8|0.12|0.01|0.01|0.0|1035|424|0|28672|3129183|40526|204|59|276410368|342802432|184721408|3264512|0|94609408|0|269619200|272485376|0|7769|253662|59|64|0|0|0|0|0|wn1.localdomain
reducer|4_5|start|0.0|0.0|0.0|0.0|0.0|8|0|0|0|4188|0|0|0|565248|7778304|512000|3264512|0|761856|0|147456|276480|0|4471|247726|45|55|0|0|0|0|1655431956.04|wn2.localdomain
reducer|4_5|end|1.59|0.27|0.03|0.02|0.0|1188|496|0|294912|3758941|297842|228|43|327217152|464310272|205619200|3264512|0|132153344|0|320708608|323543040|0|10386|497771|89|101|0|0|0|0|0|wn2.localdomain
reducer|5_5|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|507904|7778304|454656|3264512|0|761856|0|147456|247808|0|4867|247835|51|57|0|0|0|0|1655431949.89|wn1.localdomain
reducer|5_5|end|1.24|0.16|0.03|0.02|0.0|1207|492|0|53248|3517349|55739|239|19|314732544|454373376|203440128|3264512|0|122257408|0|308244480|311149568|0|10566|497639|91|99|0|0|0|0|0|wn1.localdomain
